trial_id,status,val_accuracy,hw_val_accuracy,float_val_accuracy,quant_gap,deployable,weight_clip_frac,min_threshold,feasible,epochs_run,stopped_early,synops_per_sample,neurons,connections,params,depth,channels,kernel_size,stride,downsample_mode,resize_to,T,tau,trainable_tau,trainable_threshold,fc_layers,final_reduction,dropout_rate,norm,tdbn_alpha,optimizer,lr,weight_decay,scheduler,label_smoothing,grad_clip
1972a387,pruned_before_deploy,,,0.6363636363636364,,,,,,8,False,,,,,3,32,5,2,stride,64,16,63,False,False,0,flatten,0.24389796581065537,tdbn,0.8508171755046332,adam,0.0008033880869406623,7.415439164409969e-05,step,0.10834872087492341,5.0
779b7aea,pruned_before_deploy,,,0.7670454545454546,,,,,,24,False,,,,,2,32,5,2,stride,64,16,6,False,False,0,flatten,0.1477509527181377,tdbn,0.8624134514519839,adam,0.0015773387078823332,3.475411176981945e-05,step,0.1013184378455329,5.0
122d8894,deployed,0.8125,0.8125,0.7102272727272727,-0.10227272727272729,True,0.0,0.050000011920928955,,0,False,37003217.2265625,,,,2,64,5,2,stride,32,8,16,False,False,1,flatten,0.10619117287600165,tdbn,0.9963828702111429,adam,0.001522396930732761,0.0001425616835894642,onecycle,0.05230513317931125,5.0
03e11395,pruned_before_deploy,,,0.7329545454545454,,,,,,24,False,,,,,2,32,7,2,stride,64,8,32,False,True,1,flatten,0.3300728106994817,tdbn,1.1531194575358197,adam,0.0016022176474449357,0.0003027741633299701,none,0.028632188029129313,5.0
b89964e6,pruned_before_deploy,,,0.7329545454545454,,,,,,24,False,,,,,2,32,7,2,stride,64,8,32,False,True,1,flatten,0.3265986666424697,tdbn,0.9960410976675832,adam,0.0006630342919251688,1.8024737751189914e-05,none,0.027871788761125813,5.0
248c7dff,pruned_before_deploy,,,0.7159090909090909,,,,,,24,False,,,,,2,32,7,2,stride,64,8,32,False,True,1,flatten,0.3054946603012617,tdbn,1.0312728499869879,adam,0.0006624681170207167,0.00042732762948055435,none,0.02561068252347399,5.0
7f763dd0,pruned_before_deploy,,,0.6875,,,,,,24,False,,,,,3,32,5,2,stride,64,16,63,False,False,0,flatten,0.13434641277601314,tdbn,0.813117920230666,adam,0.0007740745511843595,2.7150658324241237e-05,step,0.13591873721320305,5.0
027db75d,pruned_before_deploy,,,0.6477272727272727,,,,,,24,False,,,,,3,32,5,2,stride,64,16,2,False,False,0,flatten,0.1410076803419622,tdbn,0.8517787228851258,adam,0.0007638698729787107,2.7437534357799157e-05,step,0.01538959939349531,5.0
70dd5472,pruned_before_deploy,,,0.4715909090909091,,,,,,8,False,,,,,4,64,7,,pool,64,8,16,False,True,1,flatten,0.16025183979719207,tdbn,1.6230118695225544,adam,0.0018113799688218974,3.1116611241577025e-05,none,0.01556746331750658,1.0
5a11a542,pruned_before_deploy,,,0.6818181818181818,,,,,,24,False,,,,,3,32,5,2,stride,64,16,63,False,False,0,flatten,0.1406467572469119,tdbn,0.8475769608592367,adam,0.0007617439178413992,2.287998869105512e-06,none,0.10804323763017795,5.0
d8bd2756,pruned_before_deploy,,,0.6818181818181818,,,,,,24,False,,,,,3,32,5,2,stride,64,16,2,False,False,0,flatten,0.13866134911563827,tdbn,0.8570836432986918,adam,0.0008123674013159038,2.0812394979387053e-06,step,0.1384592466953747,5.0
1c2498d7,deployed,0.8238636363636364,0.8238636363636364,0.7329545454545454,-0.09090909090909094,True,0.0,0.1876969337463379,,0,False,74527591.48169032,,,,2,64,7,2,stride,32,8,2,False,False,0,flatten,0.17881021709956924,bn,,adam,0.0008666123650641318,0.00017239063469481108,step,0.1147098417677041,5.0
ec0562be,pruned_before_deploy,,,0.6875,,,,,,24,False,,,,,3,32,5,2,stride,64,16,63,False,False,0,flatten,0.14042411666024038,tdbn,0.8578089868142282,adam,0.0007575635547630698,2.316802209036029e-06,step,0.10875155316453704,5.0
3c1e2fb1,deployed,0.8068181818181818,0.8068181818181818,0.7102272727272727,-0.09659090909090906,True,0.0,0.2542111277580261,,0,False,74209887.70898438,,,,2,32,5,,pool,32,16,3,True,False,0,flatten,0.2930883847265682,bn,,adamw,0.0017048333762287547,2.3742270993701614e-05,none,0.05460392889106563,1.0
5d16fd16,pruned_before_deploy,,,0.6193181818181818,,,,,,8,False,,,,,2,64,5,2,stride,32,8,6,False,False,0,flatten,0.18794356208023832,tdbn,0.9299002334162049,adam,0.00206487353440377,0.0006317878627786314,onecycle,0.059984585328435015,1.0
4cd51cfc,pruned_before_deploy,,,0.6306818181818182,,,,,,8,False,,,,,2,64,5,2,stride,32,8,6,False,False,0,flatten,0.17786481280782934,tdbn,1.1661555841011757,adamw,0.002019151114980096,0.002252559661157366,onecycle,0.03922696185304097,1.0
5f327f18,pruned_before_deploy,,,0.6420454545454546,,,,,,8,False,,,,,2,64,5,2,stride,32,8,6,False,False,0,flatten,0.19018694741947192,tdbn,0.9155536984674304,adamw,0.0015106761018569613,0.001976097939809858,onecycle,0.06097927334102678,1.0
9776990a,pruned_before_deploy,,,0.6022727272727273,,,,,,8,False,,,,,2,64,5,2,stride,32,8,6,False,False,0,flatten,0.1529345920339439,tdbn,0.9399551669522811,adamw,0.001929610847569566,0.0019966441038514614,onecycle,0.06370208997810176,1.0
4b4eec07,pruned_before_deploy,,,0.5852272727272727,,,,,,8,False,,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.18760999729375322,tdbn,0.9365039044569055,adam,0.0021207511887851613,6.40182945023694e-06,onecycle,0.06077103754000798,1.0
